Intravenous	O
azithromycin	B-DRUG
-	O
induced	O
ototoxicity	B-ADVEFFECT
.	O
Immobilization	O
,	O
while	O
Paget	O
's	O
bone	O
disease	O
was	O
present	O
,	O
and	O
perhaps	O
enhanced	O
activation	O
of	O
dihydrotachysterol	B-DRUG
by	O
rifampicin	O
,	O
could	O
have	O
led	O
to	O
increased	B-ADVEFFECT
calcium	I-ADVEFFECT
-	I-ADVEFFECT
release	I-ADVEFFECT
into	O
the	O
circulation	O
.	O
Unaccountable	O
severe	O
hypercalcemia	B-ADVEFFECT
in	O
a	O
patient	O
treated	O
for	O
hypoparathyroidism	O
with	O
dihydrotachysterol	B-DRUG
.	O
METHODS	O
:	O
We	O
report	O
two	O
cases	O
of	O
pseudoporphyria	B-ADVEFFECT
caused	O
by	O
naproxen	B-DRUG
and	O
oxaprozin	B-DRUG
.	O
METHODS	O
:	O
We	O
report	O
two	O
cases	O
of	O
pseudoporphyria	B-ADVEFFECT
caused	O
by	O
naproxen	B-DRUG
and	O
oxaprozin	B-DRUG
.	O
Naproxen	B-DRUG
,	O
the	O
most	O
common	O
offender	O
,	O
has	O
been	O
associated	O
with	O
a	O
dimorphic	O
clinical	O
pattern	O
:	O
a	O
PCT	O
-	O
like	O
presentation	O
and	O
one	O
simulating	O
erythropoietic	B-ADVEFFECT
protoporphyria	I-ADVEFFECT
in	O
the	O
pediatric	O
population	O
.	O
RESULTS	O
:	O
A	O
44-year	O
-	O
old	O
man	O
taking	O
naproxen	B-DRUG
for	O
chronic	O
low	O
back	O
pain	O
and	O
a	O
20-year	O
-	O
old	O
woman	O
on	O
oxaprozin	B-DRUG
for	O
rheumatoid	O
arthritis	O
presented	O
with	O
tense	B-ADVEFFECT
bullae	I-ADVEFFECT
and	O
cutaneous	B-ADVEFFECT
fragility	I-ADVEFFECT
on	O
the	O
face	O
and	O
the	O
back	O
of	O
the	O
hands	O
.	O
RESULTS	O
:	O
A	O
44-year	O
-	O
old	O
man	O
taking	O
naproxen	B-DRUG
for	O
chronic	O
low	O
back	O
pain	O
and	O
a	O
20-year	O
-	O
old	O
woman	O
on	O
oxaprozin	B-DRUG
for	O
rheumatoid	O
arthritis	O
presented	O
with	O
tense	B-ADVEFFECT
bullae	I-ADVEFFECT
and	O
cutaneous	B-ADVEFFECT
fragility	I-ADVEFFECT
on	O
